number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state
0,0.21583144475769994,2026-08-03 10:47:40.435133,2026-08-03 10:49:48.201752,0 days 00:02:07.766619,0.4954376777021474,6,100,0.5802949724033516,0.026614948357485544,COMPLETE
1,0.23502201267836204,2026-08-03 10:49:48.205117,2026-08-03 10:51:55.067671,0 days 00:02:06.862554,0.9253064510730142,4,79,0.07181193786508286,0.030431825757653404,COMPLETE
2,0.2222996812838419,2026-08-03 10:51:55.072144,2026-08-03 10:54:01.003868,0 days 00:02:05.931724,0.28553950900027913,5,117,0.07096943548415459,0.0164440339543154,COMPLETE
3,0.22739516222219586,2026-08-03 10:54:01.007166,2026-08-03 10:56:44.633278,0 days 00:02:43.626112,0.7747593684463424,10,197,7.96900395947106,0.019565558749772095,COMPLETE
4,0.21220508400060067,2026-08-03 10:56:44.636744,2026-08-03 10:58:51.062327,0 days 00:02:06.425583,0.33975175709270833,5,125,0.080485026800655,0.030454999249108407,COMPLETE
5,0.08156606474817685,2026-08-03 10:58:51.065619,2026-08-03 11:00:53.234711,0 days 00:02:02.169092,0.5727037976418856,5,81,0.011154383381927917,0.0011319658167644943,COMPLETE
6,0.205690322171312,2026-08-03 11:00:53.237992,2026-08-03 11:03:10.092254,0 days 00:02:16.854262,0.3403569852179653,6,81,3.430803658663024,0.07367232201286997,COMPLETE
7,0.22870090781637584,2026-08-03 11:03:10.095765,2026-08-03 11:05:36.834920,0 days 00:02:26.739155,0.324664537616526,5,71,0.33645200799276953,0.05517820690484408,COMPLETE
8,0.21081046962532363,2026-08-03 11:05:36.838300,2026-08-03 11:07:57.485429,0 days 00:02:20.647129,0.09979877227712974,8,114,9.690989077015413,0.018102334035311113,COMPLETE
9,0.23683398483252893,2026-08-03 11:07:57.491441,2026-08-03 11:10:13.490348,0 days 00:02:15.998907,0.4313511892524664,4,178,0.7471692493834617,0.008485605390484994,COMPLETE
10,0.20291119224625787,2026-08-03 11:10:13.493970,2026-08-03 11:12:33.290107,0 days 00:02:19.796137,0.006519392416824865,8,279,1.2941497586864543,0.003737865533248469,COMPLETE
11,0.22618969271126885,2026-08-03 11:12:33.293789,2026-08-03 11:14:38.125678,0 days 00:02:04.831889,0.9726882299047225,4,193,0.07715253147885369,0.00574261763529578,COMPLETE
12,0.2323560400095354,2026-08-03 11:14:38.129135,2026-08-03 11:17:17.306860,0 days 00:02:39.177725,0.673825830917872,4,163,0.016225457715561338,0.007984153919062473,COMPLETE
13,0.13883886816453483,2026-08-03 11:17:17.310367,2026-08-03 11:19:47.496371,0 days 00:02:30.186004,0.9746470100108113,4,241,0.18252088425338414,0.0037178553118431957,COMPLETE
14,0.19984016258246223,2026-08-03 11:19:47.499757,2026-08-03 11:22:04.289825,0 days 00:02:16.790068,0.7907658115108973,7,157,1.0553488550040817,0.04419380191443585,COMPLETE
15,0.17830236460993137,2026-08-03 11:22:04.293484,2026-08-03 11:25:06.256863,0 days 00:03:01.963379,0.5213432685304074,10,231,0.030514634096683247,0.011232794675526219,COMPLETE
16,0.07942390729338375,2026-08-03 11:25:06.260378,2026-08-03 11:27:24.767926,0 days 00:02:18.507548,0.8221534946319013,7,148,0.17568143614602688,0.0018487771098219844,COMPLETE
17,0.20638343377766785,2026-08-03 11:27:24.772565,2026-08-03 11:29:49.514066,0 days 00:02:24.741501,0.6345772243181417,6,54,1.859410689230354,0.0892121726759833,COMPLETE
18,0.23798405284977742,2026-08-03 11:29:49.520611,2026-08-03 11:32:15.280766,0 days 00:02:25.760155,0.44225616995371325,4,218,0.4604657746964211,0.01048036109895408,COMPLETE
19,0.19665362951523874,2026-08-03 11:32:15.286603,2026-08-03 11:34:56.383974,0 days 00:02:41.097371,0.2137126424988237,9,226,0.5348437983891319,0.005246050146562326,COMPLETE
