number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_epochs,params_lr,params_n_layers,params_n_units_l1,params_n_units_l2,params_n_units_l3,params_optimizer,params_optimizer_secondary,params_pca_n_components,params_weight_decay,state
0,0.28756010370371954,2026-08-03 20:21:05.872957,2026-08-03 20:22:39.870828,0 days 00:01:33.997871,silu,512,0.06445513590897933,56,0.00024078921495774262,3,54,90.0,243.0,adam,adamw,42,0.004637927511192855,COMPLETE
1,0.3129342514350202,2026-08-03 20:22:39.875554,2026-08-03 20:24:20.751734,0 days 00:01:40.876180,gelu,256,0.4926504096429939,145,0.00031438072231661284,1,190,,,rmsprop,adamw,35,0.0008017781625046902,COMPLETE
2,0.28092237777552864,2026-08-03 20:24:20.756162,2026-08-03 20:26:02.361788,0 days 00:01:41.605626,leaky_relu,256,0.04042424656712901,281,0.007580436014494162,2,84,233.0,,rmsprop,adamw,12,2.5311463467000393e-06,COMPLETE
3,0.3050542155653665,2026-08-03 20:26:02.366379,2026-08-03 20:38:34.693553,0 days 00:12:32.327174,gelu,32,0.07059716172857039,500,0.0003844212265672901,3,192,139.0,77.0,rmsprop,adam,14,2.3856863423788525e-06,COMPLETE
4,0.11592965689139183,2026-08-03 20:38:34.698154,2026-08-03 20:39:51.829699,0 days 00:01:17.131545,gelu,256,0.21315121340513693,377,0.0006148112126966289,3,49,239.0,189.0,sgd,sgd,16,0.002063447622306043,COMPLETE
5,0.22163020984096074,2026-08-03 20:39:51.834316,2026-08-03 20:41:32.545091,0 days 00:01:40.710775,leaky_relu,256,0.03566089566290104,347,0.008839515441888513,1,199,,,rmsprop,rmsprop,9,1.2115261767215902e-06,COMPLETE
6,0.25824755583643827,2026-08-03 20:41:32.549572,2026-08-03 20:43:16.197281,0 days 00:01:43.647709,leaky_relu,256,0.18147844415798037,153,0.005014313831516225,2,63,248.0,,rmsprop,rmsprop,34,0.0016441716584827929,COMPLETE
7,0.1685295791313171,2026-08-03 20:43:16.201869,2026-08-03 20:44:32.789243,0 days 00:01:16.587374,silu,512,0.3426308938572794,369,0.0003102001994608345,2,47,165.0,,sgd,rmsprop,7,0.0010071148570029139,COMPLETE
8,0.3071186836297234,2026-08-03 20:44:32.793776,2026-08-03 20:46:06.968733,0 days 00:01:34.174957,silu,512,0.16830194674396048,82,0.0015936180698831236,2,108,243.0,,rmsprop,adam,41,2.387291497285918e-05,COMPLETE
9,0.31585909228574266,2026-08-03 20:46:06.973302,2026-08-03 20:47:51.880669,0 days 00:01:44.907367,leaky_relu,512,0.3793205819225181,106,0.000781520236547653,3,183,32.0,166.0,adam,rmsprop,28,0.0003122018128580877,COMPLETE
10,0.3102351413384087,2026-08-03 20:47:51.885477,2026-08-03 20:50:02.840592,0 days 00:02:10.955115,leaky_relu,128,0.362487097855603,202,0.0024044985723334863,3,235,32.0,122.0,adam,sgd,25,9.060854932219897e-05,COMPLETE
11,0.31822537800795536,2026-08-03 20:50:02.845374,2026-08-03 20:53:48.898581,0 days 00:03:46.053207,gelu,64,0.48890391225361063,158,0.00011088815464572117,1,153,,,adamw,adamw,29,0.0003246433784284775,COMPLETE
12,0.3186003603580327,2026-08-03 20:53:48.903952,2026-08-03 20:56:46.482333,0 days 00:02:57.578381,gelu,64,0.485285142550169,214,0.0001064231965561286,1,140,,,adamw,adamw,24,0.00020328087175656986,COMPLETE
13,0.31660663520338195,2026-08-03 20:56:46.487078,2026-08-03 20:59:31.847200,0 days 00:02:45.360122,gelu,64,0.4932206919614251,222,0.00010775285366052018,1,131,,,adamw,adamw,21,4.8728383194832e-05,COMPLETE
14,0.32056340747611717,2026-08-03 20:59:31.851899,2026-08-03 21:02:37.997610,0 days 00:03:06.145711,gelu,64,0.42632338860544383,266,0.00010587961943778844,1,149,,,adamw,adamw,29,0.000212708708630087,COMPLETE
15,0.30992536302063645,2026-08-03 21:02:38.002331,2026-08-03 21:05:59.003185,0 days 00:03:21.000854,gelu,64,0.4000963668215441,291,0.0001739816426062082,1,148,,,adamw,adamw,21,1.1355888765175874e-05,COMPLETE
16,0.3160140459851729,2026-08-03 21:05:59.007608,2026-08-03 21:10:16.248450,0 days 00:04:17.240842,gelu,64,0.2898338844087528,232,0.0001675925522232325,1,116,,,adamw,adamw,36,0.00024188246847341497,COMPLETE
17,0.3084577251178649,2026-08-03 21:10:16.253296,2026-08-03 21:13:24.618123,0 days 00:03:08.364827,gelu,64,0.4308321397409977,321,0.0005381753115486909,1,160,,,adamw,adamw,19,1.0574946170640757e-05,COMPLETE
18,0.30706750690459944,2026-08-03 21:13:24.622980,2026-08-03 21:16:27.147366,0 days 00:03:02.524386,gelu,128,0.30349030628506923,428,0.0016523147224187704,2,232,185.0,,adamw,sgd,31,0.00012833787394492277,COMPLETE
19,0.3222829611857813,2026-08-03 21:16:27.153004,2026-08-03 21:21:41.158342,0 days 00:05:14.005338,gelu,32,0.42623945835394433,255,0.00018179140495964998,1,100,,,adamw,adam,25,5.3680589943834026e-05,COMPLETE
20,0.3227344545395849,2026-08-03 21:21:41.168021,2026-08-03 21:28:24.421134,0 days 00:06:43.253113,silu,32,0.4273476743823523,262,0.0001918757358008043,1,91,,,adamw,adam,38,4.154606353418138e-05,COMPLETE
21,0.3317288422701786,2026-08-03 21:28:24.429806,2026-08-03 21:32:56.054864,0 days 00:04:31.625058,silu,32,0.43414436764131803,266,0.00018161143053071693,1,87,,,adamw,adam,38,3.377169250006518e-05,COMPLETE
