number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_epochs,params_lr,params_n_layers,params_n_units_l1,params_n_units_l2,params_n_units_l3,params_optimizer,params_optimizer_secondary,params_pca_n_components,params_weight_decay,state
0,0.29392682076273063,2026-08-03 14:15:52.837771,2026-08-03 14:19:46.353307,0 days 00:03:53.515536,silu,128,0.3819103896022347,81,0.00012841831236263447,3,40,228.0,34.0,adam,adamw,13,1.49602270949755e-06,COMPLETE
1,0.2516191694471889,2026-08-03 14:19:46.361835,2026-08-03 14:23:15.968365,0 days 00:03:29.606530,leaky_relu,128,0.3865228667800131,194,0.001272769342493875,3,218,85.0,232.0,sgd,sgd,31,1.3554176774863991e-05,COMPLETE
2,0.21017000825193394,2026-08-03 14:23:15.972691,2026-08-03 14:27:00.252655,0 days 00:03:44.279964,gelu,256,0.14228538346906505,248,0.004262410608314071,2,186,225.0,,adam,rmsprop,15,1.6008588521348049e-06,COMPLETE
3,0.305964351458619,2026-08-03 14:27:00.257300,2026-08-03 14:29:28.896760,0 days 00:02:28.639460,gelu,256,0.08763315288127321,201,0.001244939944872204,1,251,,,adam,rmsprop,33,0.006779977690707354,COMPLETE
4,0.303662656242614,2026-08-03 14:29:28.905097,2026-08-03 14:32:14.449044,0 days 00:02:45.543947,gelu,512,0.41937814853524585,125,0.0005792169771916199,2,41,57.0,,rmsprop,rmsprop,38,7.651824953853002e-06,COMPLETE
5,0.2875433715075962,2026-08-03 14:32:14.454122,2026-08-03 14:34:52.518734,0 days 00:02:38.064612,silu,512,0.3160767953649167,154,0.0005179826815225183,3,164,217.0,40.0,adamw,sgd,11,0.004020073406161814,COMPLETE
6,0.2670920538606859,2026-08-03 14:34:52.523377,2026-08-03 14:37:24.538010,0 days 00:02:32.014633,leaky_relu,256,0.26168487578382305,226,0.0005812158844611658,1,191,,,sgd,adam,17,0.0022595674306073094,COMPLETE
7,0.25637170092741507,2026-08-03 14:37:24.543273,2026-08-03 14:42:00.823366,0 days 00:04:36.280093,leaky_relu,128,0.09276165180505125,485,0.0006242752984943702,3,151,196.0,180.0,rmsprop,sgd,30,0.007109951295026729,COMPLETE
8,0.28271157657602686,2026-08-03 14:42:00.830467,2026-08-03 14:46:15.209523,0 days 00:04:14.379056,gelu,64,0.37334457101903784,452,0.0006605278271556561,1,118,,,adam,adam,38,3.261198362889621e-05,COMPLETE
9,0.20583868206264588,2026-08-03 14:46:15.214575,2026-08-03 14:53:00.702727,0 days 00:06:45.488152,silu,128,0.07567761587017846,386,0.001185073567873005,3,93,94.0,215.0,adamw,adamw,28,0.006282337073535137,COMPLETE
10,0.08620063571087364,2026-08-03 14:53:00.708537,2026-08-03 14:56:20.885348,0 days 00:03:20.176811,gelu,32,0.0007340306176418648,351,0.008960225890252685,1,255,,,adam,rmsprop,5,0.0005736175766432341,COMPLETE
11,0.29634356761544955,2026-08-03 14:56:20.889413,2026-08-03 14:59:16.649595,0 days 00:02:55.760182,gelu,512,0.1910770041725523,64,0.00020068151847276838,2,41,32.0,,rmsprop,rmsprop,45,0.00020483904251619885,COMPLETE
12,0.2727454730299884,2026-08-03 14:59:16.654567,2026-08-03 15:02:27.399240,0 days 00:03:10.744673,gelu,512,0.49223067901464085,130,0.0022308298474433942,2,83,140.0,,rmsprop,rmsprop,38,9.0569730377117e-06,COMPLETE
13,0.3033849947360504,2026-08-03 15:02:27.405297,2026-08-03 15:05:07.833258,0 days 00:02:40.427961,gelu,256,0.48858068760319184,318,0.0002556259695535738,1,255,,,rmsprop,rmsprop,39,8.17670343435901e-05,COMPLETE
14,0.2833602397112994,2026-08-03 15:05:07.838226,2026-08-03 15:11:40.479645,0 days 00:06:32.641419,gelu,32,0.23048638202891392,148,0.0023812233509718063,2,116,35.0,,adam,rmsprop,22,0.0006565263299952465,COMPLETE
15,0.2251887894008891,2026-08-03 15:11:40.489161,2026-08-03 15:18:00.239039,0 days 00:06:19.749878,gelu,64,0.012893456030885597,203,0.0003433884939881824,1,73,,,rmsprop,rmsprop,45,6.6072693345173925e-06,COMPLETE
16,0.2313246658390618,2026-08-03 15:18:00.243302,2026-08-03 15:21:48.646293,0 days 00:03:48.402991,gelu,256,0.2939897083882629,282,0.0017692168191614825,2,219,154.0,,adamw,rmsprop,36,5.8737225305103686e-05,COMPLETE
17,0.2874371926514291,2026-08-03 15:21:48.651990,2026-08-03 15:24:24.949214,0 days 00:02:36.297224,gelu,512,0.4409421814348494,131,0.00493147296263462,1,125,,,sgd,adam,23,0.0009886335914727205,COMPLETE
18,0.26633281702183476,2026-08-03 15:24:24.953459,2026-08-03 15:27:19.785338,0 days 00:02:54.831879,leaky_relu,512,0.16430233373049985,100,0.0010823593050348526,2,60,80.0,,adam,adamw,33,0.00028263633785422144,COMPLETE
19,0.2971775398725948,2026-08-03 15:27:19.822031,2026-08-03 15:29:58.884214,0 days 00:02:39.062183,silu,256,0.09642250557859257,276,0.0004042863547329357,2,229,130.0,,rmsprop,rmsprop,26,3.2765702335310422e-06,COMPLETE
