number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.23971892423408342,2026-08-03 11:34:56.396276,2026-08-03 11:37:13.099925,0 days 00:02:16.703649,3,0.5279648042974081,5,6,76,COMPLETE
1,0.3088594446714651,2026-08-03 11:37:13.103269,2026-08-03 11:39:55.428765,0 days 00:02:42.325496,15,0.7911559338121368,11,19,184,COMPLETE
2,0.3075611865905185,2026-08-03 11:39:55.432195,2026-08-03 11:42:33.057299,0 days 00:02:37.625104,19,0.7654946482723571,6,9,294,COMPLETE
3,0.23439075731928805,2026-08-03 11:42:33.062482,2026-08-03 11:44:46.441014,0 days 00:02:13.378532,4,0.153473973731888,18,4,128,COMPLETE
4,0.2946760623950849,2026-08-03 11:44:46.446386,2026-08-03 11:47:39.168880,0 days 00:02:52.722494,14,0.6442978473665496,4,17,270,COMPLETE
5,0.3057806451004703,2026-08-03 11:47:39.207655,2026-08-03 11:50:13.373038,0 days 00:02:34.165383,17,0.97843934538243,9,5,178,COMPLETE
6,0.26578866873999935,2026-08-03 11:50:13.391508,2026-08-03 11:52:45.741343,0 days 00:02:32.349835,7,0.58499534690574,16,11,182,COMPLETE
7,0.27275667552318633,2026-08-03 11:52:45.751127,2026-08-03 11:55:12.882965,0 days 00:02:27.131838,16,0.10641833230502748,16,17,180,COMPLETE
8,0.2998050625365781,2026-08-03 11:55:12.887031,2026-08-03 11:57:31.500678,0 days 00:02:18.613647,20,0.6749550676087847,15,20,67,COMPLETE
9,0.2400195874936692,2026-08-03 11:57:31.505567,2026-08-03 11:59:51.035087,0 days 00:02:19.529520,7,0.1812541944150392,19,19,78,COMPLETE
10,0.2966261876806966,2026-08-03 11:59:51.038989,2026-08-03 12:02:23.237283,0 days 00:02:32.198294,12,0.994353170886835,11,14,230,COMPLETE
11,0.2941145863195408,2026-08-03 12:02:23.245596,2026-08-03 12:05:06.351163,0 days 00:02:43.105567,20,0.8217349490660932,1,10,297,COMPLETE
12,0.3058132921231998,2026-08-03 12:05:06.361704,2026-08-03 12:07:47.126032,0 days 00:02:40.764328,17,0.804753158734349,10,8,238,COMPLETE
13,0.30464097665279577,2026-08-03 12:07:47.130697,2026-08-03 12:10:11.875932,0 days 00:02:24.745235,14,0.42602047711120294,7,14,128,COMPLETE
14,0.2903217804186273,2026-08-03 12:10:11.889132,2026-08-03 12:12:48.224900,0 days 00:02:36.335768,10,0.8102063936918353,13,14,224,COMPLETE
15,0.3087936138899657,2026-08-03 12:12:48.231193,2026-08-03 12:15:23.894485,0 days 00:02:35.663292,18,0.37835667441487997,7,2,132,COMPLETE
16,0.3037329412813602,2026-08-03 12:15:23.899564,2026-08-03 12:18:05.811765,0 days 00:02:41.912201,15,0.3360235438302981,12,3,131,COMPLETE
17,0.278660175309306,2026-08-03 12:18:05.818462,2026-08-03 12:20:42.620559,0 days 00:02:36.802097,12,0.29190201017040707,8,2,105,COMPLETE
18,0.3037412630208479,2026-08-03 12:20:42.644158,2026-08-03 12:23:27.308307,0 days 00:02:44.664149,18,0.4645377952318852,4,7,197,COMPLETE
19,0.27211553301415836,2026-08-03 12:23:27.320718,2026-08-03 12:26:07.421656,0 days 00:02:40.100938,10,0.3061289490181666,2,12,153,COMPLETE
