number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
0,0.06563383794859683,2026-08-03 10:04:09.415610,2026-08-03 10:06:15.949365,0 days 00:02:06.533755,1.3196262145578825e-08,0.92398073095649,0.0020572913814668322,0.0034875970209120237,4,9,96,0.9144230049051515,COMPLETE
1,0.10538809318209252,2026-08-03 10:06:15.952448,2026-08-03 10:08:28.033362,0 days 00:02:12.080914,0.013278629574997336,0.9175182290500352,0.00018571482590065466,0.0019756120648691056,9,8,209,0.5478000406108625,COMPLETE
2,0.22645880565311316,2026-08-03 10:08:28.037201,2026-08-03 10:10:36.527710,0 days 00:02:08.490509,8.717954944611515e-06,0.6928581831073064,0.01761735346507363,0.04809797046413485,3,10,287,0.5792642446081726,COMPLETE
3,0.09114546735683549,2026-08-03 10:10:36.531702,2026-08-03 10:12:53.790231,0 days 00:02:17.258529,0.05345176899923984,0.7929661665779157,0.07535026554829301,0.0015543209425689835,10,5,266,0.869248928029277,COMPLETE
4,0.24810472697135175,2026-08-03 10:12:53.795603,2026-08-03 10:15:01.481769,0 days 00:02:07.686166,6.540575000682054,0.9306576480198205,0.024490650778075086,0.07769245666913023,4,1,212,0.6475122957788313,COMPLETE
5,0.09684771406596719,2026-08-03 10:15:01.485088,2026-08-03 10:17:12.892501,0 days 00:02:11.407413,0.04230701060075729,0.7483237018284941,0.00011456859939919021,0.0016270583412800771,10,8,168,0.7402089351598038,COMPLETE
6,0.25041043702315,2026-08-03 10:17:12.896117,2026-08-03 10:19:24.544803,0 days 00:02:11.648686,2.8317103764544123,0.9391934839629185,0.0011030533892901723,0.07179106142484247,7,3,256,0.7188167554566912,COMPLETE
7,0.23892314373237725,2026-08-03 10:19:24.548352,2026-08-03 10:21:32.585772,0 days 00:02:08.037420,3.4209852010025774e-07,0.9110319179720906,0.00040019781929936303,0.09322412642661952,7,2,64,0.7454561475332897,COMPLETE
8,0.26270753566630506,2026-08-03 10:21:32.589635,2026-08-03 10:23:48.013512,0 days 00:02:15.423877,8.6455615088652e-06,0.553586122063257,0.004695953265241751,0.0028881311018904257,9,3,297,0.5903462794811309,COMPLETE
9,0.24793723111880892,2026-08-03 10:23:48.017228,2026-08-03 10:26:00.334189,0 days 00:02:12.316961,0.3880466281750849,0.6359030855140497,1.7550414141750277e-08,0.004274369016679818,9,1,215,0.7011434140095008,COMPLETE
10,0.2391604035167741,2026-08-03 10:26:00.337740,2026-08-03 10:28:08.414349,0 days 00:02:08.076609,9.395670910630877e-05,0.5119188739832882,2.549232200836084,0.013318917278720512,6,5,144,0.5116627099883737,COMPLETE
11,0.2609072654296284,2026-08-03 10:28:08.417929,2026-08-03 10:30:20.434071,0 days 00:02:12.016142,0.00048551005594222164,0.6292001504035551,1.6796284671209703e-06,0.017808933674816348,7,3,300,0.834725450925594,COMPLETE
12,0.2719938200670862,2026-08-03 10:30:20.437829,2026-08-03 10:32:33.111245,0 days 00:02:12.673416,0.0009074921390708283,0.5422944858921634,2.066263187642963e-06,0.01656972727634623,8,4,298,0.8350529728892668,COMPLETE
13,0.23800510420775725,2026-08-03 10:32:33.115020,2026-08-03 10:34:44.505527,0 days 00:02:11.390507,0.0006252168954592445,0.520628477721854,2.7499536899391926e-06,0.006354092081051046,8,4,249,0.8382968912352429,COMPLETE
14,0.2632919285834601,2026-08-03 10:34:44.509155,2026-08-03 10:36:56.242954,0 days 00:02:11.733799,3.3239821479845055e-06,0.5873090669000938,5.662680300141827e-06,0.030470106383356243,8,6,299,0.9702045030667245,COMPLETE
15,0.24820602838100533,2026-08-03 10:36:56.248463,2026-08-03 10:39:05.087637,0 days 00:02:08.839174,1.037723936831249e-06,0.5903088140333531,3.554358805982481e-06,0.02987664267005451,6,7,237,0.97337787463964,COMPLETE
16,0.2629590161480583,2026-08-03 10:39:05.093766,2026-08-03 10:41:14.217676,0 days 00:02:09.123910,0.0019952498968662117,0.6931540287721932,5.855767306705211e-08,0.024950844567642502,8,6,148,0.9906159410105726,COMPLETE
17,0.22886766836808006,2026-08-03 10:41:14.221592,2026-08-03 10:43:23.675884,0 days 00:02:09.454292,6.025203241106166e-05,0.8239915295436099,2.081333018960549e-07,0.008687471426047571,5,6,280,0.9303371949544389,COMPLETE
18,0.28013536875015776,2026-08-03 10:43:23.679813,2026-08-03 10:45:32.334125,0 days 00:02:08.654312,6.112803481555144e-08,0.591404605629243,5.0909416229631656e-05,0.03383090585485014,8,4,182,0.7899761325537948,COMPLETE
19,0.26793735326918144,2026-08-03 10:45:32.338190,2026-08-03 10:47:40.422960,0 days 00:02:08.084770,7.901415253204572e-08,0.6640163208781633,4.392621885477699e-05,0.04348554109857526,8,4,110,0.7898078633637149,COMPLETE
